Epoch:25/80: step:4000, lr:0.00014832527, loss:0.009528883, pPAN_max:0.86465895, pPAN_min:0.025749892, elapsed_time:0:15:07.202624

Epoch:26/80: step:4100, lr:0.00013898559, loss:0.009592248, pPAN_max:0.853534, pPAN_min:0.025734574, elapsed_time:0:15:30.235771

Epoch:26/80: step:4200, lr:0.00013023401, loss:0.009570222, pPAN_max:0.8532757, pPAN_min:0.025727719, elapsed_time:0:15:52.777661

Epoch:27/80: step:4300, lr:0.00012203348, loss:0.009492228, pPAN_max:0.85367805, pPAN_min:0.025662273, elapsed_time:0:16:15.516515

Epoch:28/80: step:4400, lr:0.00011434935, loss:0.009466827, pPAN_max:0.85328054, pPAN_min:0.025623053, elapsed_time:0:16:38.574761

Epoch:28/80: step:4500, lr:0.00010714903, loss:0.009394081, pPAN_max:0.8538421, pPAN_min:0.025558382, elapsed_time:0:17:00.442695

Epoch:29/80: step:4600, lr:0.00010040214, loss:0.009442413, pPAN_max:0.85332084, pPAN_min:0.025564343, elapsed_time:0:17:22.917232

Epoch:30/80: step:4700, lr:9.408005e-05, loss:0.009348974, pPAN_max:0.8536324, pPAN_min:0.02548179, elapsed_time:0:17:45.399266

Epoch:30/80: step:4800, lr:8.815607e-05, loss:0.009346707, pPAN_max:0.85571885, pPAN_min:0.02548325, elapsed_time:0:18:07.226108

Epoch:31/80: step:4900, lr:8.2605075e-05, loss:0.0093367845, pPAN_max:0.85485506, pPAN_min:0.025505573, elapsed_time:0:18:29.512835

Epoch:31/80: step:5000, lr:7.740363e-05, loss:0.009338418, pPAN_max:0.86953485, pPAN_min:0.025485873, elapsed_time:0:18:51.434391

Epoch:32/80: step:5100, lr:7.252972e-05, loss:0.009301126, pPAN_max:0.85576457, pPAN_min:0.025420457, elapsed_time:0:19:13.891551

Epoch:33/80: step:5200, lr:6.7962705e-05, loss:0.009223271, pPAN_max:0.8574506, pPAN_min:0.025381118, elapsed_time:0:19:36.411431

Epoch:33/80: step:5300, lr:6.368327e-05, loss:0.009269742, pPAN_max:0.85653687, pPAN_min:0.025309145, elapsed_time:0:19:58.298385

Epoch:34/80: step:5400, lr:5.967329e-05, loss:0.009212883, pPAN_max:0.85714805, pPAN_min:0.02530548, elapsed_time:0:20:20.791611

Epoch:34/80: step:5500, lr:5.5915792e-05, loss:0.009171599, pPAN_max:0.8573743, pPAN_min:0.025206089, elapsed_time:0:20:43.227992

Epoch:35/80: step:5600, lr:5.239492e-05, loss:0.009198048, pPAN_max:0.8587966, pPAN_min:0.02521804, elapsed_time:0:21:05.831729

Epoch:36/80: step:5700, lr:4.9095746e-05, loss:0.009255386, pPAN_max:0.85845876, pPAN_min:0.025220066, elapsed_time:0:21:28.401900

Epoch:36/80: step:5800, lr:4.6004294e-05, loss:0.009158402, pPAN_max:0.85987127, pPAN_min:0.02517733, elapsed_time:0:21:50.486057

Epoch:37/80: step:5900, lr:4.3107524e-05, loss:0.009171308, pPAN_max:0.85971326, pPAN_min:0.025165796, elapsed_time:0:22:13.141208

Epoch:38/80: step:6000, lr:4.039315e-05, loss:0.00906054, pPAN_max:0.8593271, pPAN_min:0.025150359, elapsed_time:0:22:35.700316

Epoch:38/80: step:6100, lr:3.7849695e-05, loss:0.009139258, pPAN_max:0.85961664, pPAN_min:0.025150687, elapsed_time:0:22:57.581039

Epoch:39/80: step:6200, lr:3.546638e-05, loss:0.009150872, pPAN_max:0.85979605, pPAN_min:0.025131285, elapsed_time:0:23:20.052569

Epoch:39/80: step:6300, lr:3.323315e-05, loss:0.009069908, pPAN_max:0.85990417, pPAN_min:0.024721503, elapsed_time:0:23:41.750504

Epoch:40/80: step:6400, lr:3.1140542e-05, loss:0.009125624, pPAN_max:0.8741921, pPAN_min:0.025148094, elapsed_time:0:24:04.212981

Epoch:41/80: step:6500, lr:2.9179691e-05, loss:0.009036286, pPAN_max:0.8616071, pPAN_min:0.025066167, elapsed_time:0:24:26.640248

Epoch:41/80: step:6600, lr:2.7342321e-05, loss:0.008965423, pPAN_max:0.8606535, pPAN_min:0.025112092, elapsed_time:0:24:48.613503

Epoch:42/80: step:6700, lr:2.5620644e-05, loss:0.008971833, pPAN_max:0.8751415, pPAN_min:0.025026679, elapsed_time:0:25:11.206633

Epoch:42/80: step:6800, lr:2.4007377e-05, loss:0.008939854, pPAN_max:0.8610995, pPAN_min:0.02509141, elapsed_time:0:25:33.162219

Epoch:43/80: step:6900, lr:2.2495688e-05, loss:0.008948642, pPAN_max:0.86245936, pPAN_min:0.025036901, elapsed_time:0:25:55.642546

Epoch:44/80: step:7000, lr:2.107919e-05, loss:0.008918864, pPAN_max:0.8614725, pPAN_min:0.02494365, elapsed_time:0:26:18.487461

Epoch:44/80: step:7100, lr:1.9751888e-05, loss:0.008950785, pPAN_max:0.86248505, pPAN_min:0.025030553, elapsed_time:0:26:40.731962

Epoch:45/80: step:7200, lr:1.8508155e-05, loss:0.00896971, pPAN_max:0.86199, pPAN_min:0.024992436, elapsed_time:0:27:03.698270

Epoch:46/80: step:7300, lr:1.7342743e-05, loss:0.008882761, pPAN_max:0.8623482, pPAN_min:0.02496931, elapsed_time:0:27:26.560241

Epoch:46/80: step:7400, lr:1.6250715e-05, loss:0.008837904, pPAN_max:0.86234784, pPAN_min:0.02504155, elapsed_time:0:27:48.947820

Epoch:47/80: step:7500, lr:1.5227448e-05, loss:0.008863118, pPAN_max:0.8625045, pPAN_min:0.025024652, elapsed_time:0:28:11.860311

Epoch:47/80: step:7600, lr:1.4268611e-05, loss:0.008845931, pPAN_max:0.8773678, pPAN_min:0.024997652, elapsed_time:0:28:34.425219

Epoch:48/80: step:7700, lr:1.3370153e-05, loss:0.008869649, pPAN_max:0.8636026, pPAN_min:0.02493304, elapsed_time:0:28:57.251212

Epoch:49/80: step:7800, lr:1.25282695e-05, loss:0.008760419, pPAN_max:0.86362123, pPAN_min:0.02497685, elapsed_time:0:29:19.943117

Epoch:49/80: step:7900, lr:1.1739391e-05, loss:0.008860195, pPAN_max:0.8778417, pPAN_min:0.025035769, elapsed_time:0:29:42.193238

Epoch:50/80: step:8000, lr:1.1000192e-05, loss:0.008853276, pPAN_max:0.8780957, pPAN_min:0.025035411, elapsed_time:0:30:05.022222

Epoch:50/80: step:8100, lr:1.0307538e-05, loss:0.008771498, pPAN_max:0.86348486, pPAN_min:0.024945527, elapsed_time:0:30:27.380417

Epoch:51/80: step:8200, lr:9.658498e-06, loss:0.008856117, pPAN_max:0.8643273, pPAN_min:0.024962962, elapsed_time:0:30:50.147338

Epoch:52/80: step:8300, lr:9.050325e-06, loss:0.00877071, pPAN_max:0.8638731, pPAN_min:0.0249843, elapsed_time:0:31:13.025983

Epoch:52/80: step:8400, lr:8.480449e-06, loss:0.00883814, pPAN_max:0.8640561, pPAN_min:0.02501452, elapsed_time:0:31:35.371224

Epoch:53/80: step:8500, lr:7.946456e-06, loss:0.008799631, pPAN_max:0.879105, pPAN_min:0.024985403, elapsed_time:0:31:58.558180

Epoch:54/80: step:8600, lr:7.446085e-06, loss:0.008726864, pPAN_max:0.8644098, pPAN_min:0.025031209, elapsed_time:0:32:21.493176

Epoch:54/80: step:8700, lr:6.977224e-06, loss:0.008782187, pPAN_max:0.86568874, pPAN_min:0.02504149, elapsed_time:0:32:43.734748

Epoch:55/80: step:8800, lr:6.5378863e-06, loss:0.008784596, pPAN_max:0.86580145, pPAN_min:0.025018215, elapsed_time:0:33:06.662334

Epoch:55/80: step:8900, lr:6.126212e-06, loss:0.008748396, pPAN_max:0.8651773, pPAN_min:0.02496308, elapsed_time:0:33:28.882591

Epoch:56/80: step:9000, lr:5.7404586e-06, loss:0.008696764, pPAN_max:0.86537427, pPAN_min:0.024926454, elapsed_time:0:33:51.319454

Epoch:57/80: step:9100, lr:5.378996e-06, loss:0.008709526, pPAN_max:0.87977254, pPAN_min:0.024899632, elapsed_time:0:34:13.722464

Epoch:57/80: step:9200, lr:5.040294e-06, loss:0.008710819, pPAN_max:0.8654914, pPAN_min:0.024977982, elapsed_time:0:34:35.697939

Epoch:58/80: step:9300, lr:4.7229187e-06, loss:0.008687907, pPAN_max:0.86513686, pPAN_min:0.02497229, elapsed_time:0:34:58.203483

Epoch:59/80: step:9400, lr:4.4255275e-06, loss:0.008740969, pPAN_max:0.8664495, pPAN_min:0.0249933, elapsed_time:0:35:20.555526

Epoch:59/80: step:9500, lr:4.146864e-06, loss:0.0087183565, pPAN_max:0.8802014, pPAN_min:0.02500239, elapsed_time:0:35:42.398082

Epoch:60/80: step:9600, lr:3.8857465e-06, loss:0.008733711, pPAN_max:0.8802068, pPAN_min:0.024968624, elapsed_time:0:36:05.155871

Epoch:60/80: step:9700, lr:3.6410677e-06, loss:0.008726846, pPAN_max:0.86553794, pPAN_min:0.024989367, elapsed_time:0:36:27.100858

Epoch:61/80: step:9800, lr:3.4117993e-06, loss:0.008675299, pPAN_max:0.8656949, pPAN_min:0.02500391, elapsed_time:0:36:49.488237

Epoch:62/80: step:9900, lr:3.1969669e-06, loss:0.00869781, pPAN_max:0.8670576, pPAN_min:0.024889112, elapsed_time:0:37:11.951915

Epoch:62/80: step:10000, lr:2.995661e-06, loss:0.008722261, pPAN_max:0.8806618, pPAN_min:0.02501443, elapsed_time:0:37:33.908461

Epoch:63/80: step:10100, lr:2.8070317e-06, loss:0.008707146, pPAN_max:0.8658278, pPAN_min:0.024978518, elapsed_time:0:37:56.496336

Epoch:63/80: step:10200, lr:2.6302803e-06, loss:0.008610347, pPAN_max:0.86606103, pPAN_min:0.02495724, elapsed_time:0:38:18.643140

Epoch:64/80: step:10300, lr:2.464658e-06, loss:0.0086546475, pPAN_max:0.86723685, pPAN_min:0.024891734, elapsed_time:0:38:41.549754

Epoch:65/80: step:10400, lr:2.309464e-06, loss:0.008668438, pPAN_max:0.8660882, pPAN_min:0.024991214, elapsed_time:0:39:04.267705

Epoch:65/80: step:10500, lr:2.1640437e-06, loss:0.008662195, pPAN_max:0.8673272, pPAN_min:0.024980336, elapsed_time:0:39:26.509826

Epoch:66/80: step:10600, lr:2.0277787e-06, loss:0.0086297635, pPAN_max:0.8661997, pPAN_min:0.024864465, elapsed_time:0:39:49.309717

Epoch:67/80: step:10700, lr:1.900094e-06, loss:0.008691888, pPAN_max:0.866941, pPAN_min:0.02499029, elapsed_time:0:40:11.758143

Epoch:67/80: step:10800, lr:1.7804506e-06, loss:0.008716563, pPAN_max:0.86642206, pPAN_min:0.024993151, elapsed_time:0:40:33.699513

Epoch:68/80: step:10900, lr:1.6683396e-06, loss:0.008755075, pPAN_max:0.8664783, pPAN_min:0.02486968, elapsed_time:0:40:56.179135

Epoch:68/80: step:11000, lr:1.563288e-06, loss:0.008651606, pPAN_max:0.8666004, pPAN_min:0.024872065, elapsed_time:0:41:18.220011

Epoch:69/80: step:11100, lr:1.4648522e-06, loss:0.008732222, pPAN_max:0.86677456, pPAN_min:0.024947494, elapsed_time:0:41:40.780715

Epoch:70/80: step:11200, lr:1.3726136e-06, loss:0.008667328, pPAN_max:0.86673725, pPAN_min:0.024935782, elapsed_time:0:42:03.739960

Epoch:70/80: step:11300, lr:1.2861833e-06, loss:0.00865303, pPAN_max:0.8668282, pPAN_min:0.024953514, elapsed_time:0:42:26.101931

Epoch:71/80: step:11400, lr:1.205196e-06, loss:0.008673166, pPAN_max:0.8680002, pPAN_min:0.024961293, elapsed_time:0:42:48.838571

Epoch:71/80: step:11500, lr:1.1293075e-06, loss:0.0085494695, pPAN_max:0.8667239, pPAN_min:0.02500248, elapsed_time:0:43:11.084774

Epoch:72/80: step:11600, lr:1.0581975e-06, loss:0.008614305, pPAN_max:0.8669956, pPAN_min:0.024990499, elapsed_time:0:43:33.986421

Epoch:73/80: step:11700, lr:9.915658e-07, loss:0.008606262, pPAN_max:0.88153696, pPAN_min:0.02497819, elapsed_time:0:43:57.004423

